,MWE,Greek,GPT_aided,GPT_unaided
2805,το λέει η περδικούλα μου,"Το σώμα μπορεί να κουράζεται, αλλά η περδικούλα σου το λέει. Γρήγοροι ρυθμοί και τα σχέδια μεγαλόπνοα. Οι καρποί θα έρθουν.","""The body may get tired, but your courage tells it. Fast rhythms and grandiose plans. The rewards will come.""
","""The body may get tired, but your little partridge tells you. Fast rhythms and ambitious designs. The fruits will come.""

"
2806,το λέει η περδικούλα μου,Το λέει η περδικούλα της. Η Vivienne Westwood έγινε 70. Φοβερό μαλλί.,"""She shows guts. Vivienne Westwood turned 70. Amazing hair.""
","""The little partridge says it. Vivienne Westwood turned 70. Amazing hair.""

"
2807,το λέει η περδικούλα μου,Το λέει ακόμα η περδικούλα του... (ΒΙΝΤΕΟ). Ποιος είπε πως ο Ριβάλντο θα τα παρατήσει επειδή είναι 40 ετών;,"""The audacity of his partridge still speaks... (VIDEO). Who said that Rivaldo would give up because he is 40 years old?""
","""The little partridge is still saying it... (VIDEO). Who said Rivaldo would quit because he's 40?""

"
2808,το λέει η περδικούλα μου,"Και τολμηρή ήταν, το έλεγε η περδικούλα της, τολμηρή και ερωτευμένη, καμιά άλλη δεν θα ερχόταν εδώ για να τον συναντήσει κάτω από τη μύτη των γονιών της!","""And she was bold, her little partridge said so, bold and in love, no one else would dare to meet him right under her parent's nose!""
","""And she was brave, her partridge said, brave and in love, no one else would come here to meet him under the nose of her parents!""

"
2809,κάνω τον Κινέζο,"Γίνεται η καταστροφή του Δράμαλη γύρω σου; Είτε φταις, είτε δεν φταις, κάνε τον Κινέζο και άσ΄τους να ψάχνονται μέχρι να ηρεμήσουν τα πνεύματα.","""Is the disaster of Dramali happening around you? Whether it's your fault or not, play dumb and let them search until the spirits calm down.""
","""Is the disaster of Dramali happening around you? Whether you are at fault or not, play the Chinese and let them figure things out until things calm down.""

"
2810,κάνω τον Κινέζο,Cisco: Θα κανει τον…κινεζο για χαρη της Κινας,"""Cisco: Will play dumb... for the sake of China""
","""Cisco: Will do the... Chinese for the sake of China""

"
2811,κάνω τον Κινέζο,"Αν ισχύσει η εγγύηση των 50 δις, περιμενω να δω την αντίδραση της Αρχιεπισκοπής. Θα μπει μπροστά για την σωτηρία ή θα κάνει πάλι τον Κινέζο;","""If the 50 billion guarantee applies, I am waiting to see the reaction of the Archdiocese. Will it step forward for salvation or will it play dumb again?""
","""If the guarantee of 50 billion holds, I am waiting to see the reaction of the Archbishopric. Will it step forward for salvation or will it play the Chinese again?""

"
2812,κάνω τον Κινέζο,"Τον ""Κινέζο"" κάνουν οι Ελβετοί για τα €2,2 ""μαύρα"" εκατ. του Ζήγρα","The Swiss are playing dumb over Zigras' €2.2 billion in 'black'/eillicit money.
","The Swiss are investigating the ""Chinese"" for the €2.2 billion ""black"" money of Zigras.
(Note: This translation is a rough estimation as the provided context isn't sufficient to provide a precise translation. 'The Chinese' might refer to a person using this as a nickname or code name, and 'Zigras' can be a person's name or is likely a coded name for a person, company or operation. 'Black' money usually refers to money earned illegally or on which the due taxes have not been paid).

"
2813,μιλάω φαρσί,'Ηξερε και αρκετα καλα τα γαλλικα και φυσικα μιλούσε φαρσί τα τούρκικα. Σπουδαίος ανθρωπος Νίτσα μου.,"""He knew French quite well and of course, he spoke Turkish fluently. A great man, my Nitsa.""
","""He knew French quite well and of course, he spoke Turkish in Farsi. A great man, my Nitsa.""

"
2814,μιλάω φαρσί,"Όσο για το πόσο φαρσί μιλάμε τις ξένες γλώσσες στην Ελλάδα, αυτό σηκώνει πολύυυ συζήτηση.","""As for how fluently we speak foreign languages in Greece, that requires a lot of discussion.""
","""As for how much we speak foreign languages in Greece, this raises a lot of discussion.""

"
2815,μιλάω φαρσί,"Ο οδηγός ζήτησε από τον Χάρι να τον φωνάζει Τζο. Ο Τζο ήταν από το Κονγκό, μιλούσε φαρσί τα γαλλικά και σπαστά τα αγγλικά.","The driver asked Harry to call him Joe. Joe was from Congo, spoke French fluently and broken English.
","""The driver asked Harry to call him Joe. Joe was from Congo, he spoke Farsi, French and broken English.""

"
2816,μιλάω φαρσί,Φαρσί μιλάει τα ελληνικά ο απελθών πρεσβευτής της Βρετανίας στην Αθήνα κ. Σάιμον Γκας.,"""The departing British ambassador to Athens, Mr. Simon Gass, speaks Greek fluently.""
","""The departing British ambassador to Athens, Mr. Simon Gass, speaks Farsi and Greek.""

"
2817,τα κάνω ρόιδο,Ώσπου οι οπαδοί του κρατισμού ήρθαν στην εξουσία και τα έκαναν ρόιδο.,"""Until the supporters of authoritarianism came to power and screwed things up.""
","""Until the supporters of authoritarianism came to power and made everything a mess.""

"
2818,τα κάνω ρόιδο,Να σας τα κάνω ρόιδο;,"""Should I screw things up for you?"" or ""Should I upset the applecart for you?""
","""Shall I make a mess of them for you?""

"
2819,τα κάνω ρόιδο,Θα στα κάνω όλα ρόιδο!,"""I will screw everything up!""
","""I will mess everything up!""

"
2820,τα κάνω ρόιδο,"Η χθεσινή αναβάθμιση rom μας τα έκανε πάλι ρόϊδο. Πάλι κιτρινίλες και στο manual, όπως την προηγούμενη φορά.","Yesterday's ROM upgrade screwed things up again. Again, we have yellow patches and in the manual, just like last time.
","""The yesterday's upgrade of our rom messed things up again. Yellow marks on the manual, just like the last time.""

"
2821,τα κάνω ρόιδο,Ρόιδο τα κάνανε πάλι!,"""They screwed things up again!""
","""They've done it again, Roido!""

"
2822,έχω το κοκκαλάκι της νυχτερίδας,Το κοκαλάκι της νυχτερίδας έχει ο Βούκοτιτς,"""Voukotits has the bat's small bone"" would be the literal translation. Given the context, a more natural translation could be ""Voukotits has all the luck"" or ""Voukotits is very lucky"".
","""The bat's bone belongs to Voukotits""

"
2823,έχω το κοκκαλάκι της νυχτερίδας,"Άλλωστε, άλλοι Δήμοι που τα κατάφεραν να καταρτίσουν προϋπολογισμό στην ώρα τους, πώς τα κατάφεραν; Είχαν το κοκαλάκι της νυχτερίδας;","""Moreover, how did the other municipalities manage to draw up their budget in due time? Did they have the bat's bone?"" The expression ""Did they have the bat's bone?"" is used figuratively to mean ""Were they very lucky?"" or ""Did they have all the luck?""
","""Besides, how did other municipalities who managed to prepare their budget on time, manage to do it? Did they have the bat's bone?""

"
2824,έχω το κοκκαλάκι της νυχτερίδας,Ο Ηρακλειώτης έχει σίγουρα το… κοκαλάκι της νυχτερίδας! Τόσα έβγαλε με μόλις 2 ευρώ!,"""The person from Heraklion definitely has the... bat's little bone! He managed so much with just 2 euros!""
","“The Heraklion resident certainly has the... backbone of the bat! He earned so much with just 2 euros!""

"
2825,έχω το κοκκαλάκι της νυχτερίδας,"Ο Martensson έχει μάλλον το κοκαλάκι της νυχτερίδας αφού τα τραγούδια που γράφει, όπου εμπλέκεται, δεν είναι ποτέ αδιάφορα.","""Martensson seems to have the bat's bone, since the songs he writes, wherever he gets involved, are never indifferent."" Here, ""having the bat's bone"" metaphorically means he is very lucky or has all the luck.
","""Martensson probably has the knack of a bat, since the songs he writes, wherever he gets involved, are never indifferent.""

"
2826,έχω το κοκκαλάκι της νυχτερίδας,"Δηλαδή, για παιδιά του λαού θα αποφασίζουν οι Πρυτανικές Αρχές; Δηλαδή τι είναι αυτοί; Το κοκαλάκι της νυχτερίδας έχουν;","""So, for the children of the people, will the Prytanic Authorities decide? What are they? Do they have a bat's bone?"" In this context, ""Do they have a bat's bone?"" is interpreted as ""Are they very lucky?"" or ""Do they have all the luck?"".
","""So, the Prytanic Authorities will decide for the children of the people? What are they? Do they have the backbone of a bat?"" 

Note: The phrase ""Do they have the backbone of a bat?"" is a Greek expression. Roughly translated, it means ""are they that insignificant?"" or ""do they have that little strength or resolve?"" or even ""are they spineless?"". The context could vary based on the overall text. Prytanic Authorities refers to a type of government body in ancient Greece, like a governing council. The word could also stand for other types of authority depending on the context.


"
2827,έχω το κοκκαλάκι της νυχτερίδας,"Μα τι έχουν, τέλος πάντων, αυτές οι Γαλλίδες; Το κοκαλάκι της νυχτερίδας;","""But what do these French women have, after all? The luck of a bat?""
","""But what do these French women have, after all? The bone of the bat?""

"
2828,έχω τα ψωμάκια μου,TIP: Αν τα πόδια σου έχουν τα ψωμάκια τους φρόντισε το σορτσάκι να καλύπτει τους προσαγωγούς σου ή απλά να μην στενεύει στο τελείωμα ...,"TIP: If your thighs have some flesh, make sure your shorts cover your adductors or simply not to be tight at the hem...
","TIP: If your legs are chubby, make sure your shorts cover your adductors or simply that they are not tight at the hem...

"
2829,έχω τα ψωμάκια μου,"Ναι, τα έχει τα ψωμάκια του!","Yes, he has his flesh!
","""Yes, he has his loaves of bread!""

"
2830,έχω τα ψωμάκια μου,Τα είχε μάλλον τα ψωμάκια του βέβαια,"""He probably had his rolls, of course."" This English translation is a bit literal, and assumes that the Greek expression is being used to discuss someone's physical appearance. If instead used metaphorically or in a idiomatic manner, a more conversational English translation might be: ""He probably was quite comfortable or well-off, of course.""
","""He certainly had his bread rolls, probably""
Please note that this is a literal translation and the phrase may have a different meaning in different contexts. It's often used idiomatically in conversational Greek.

"
2831,έχω τα ψωμάκια μου,Μπορεί στις φωτογραφίσεις να βγαίνει με το στομάχι πλάκα όμως στην πραγματικότητα και τα ψωμάκια της τα έχει και η κοιλίτσα «πετάει» αλλά καθόλου δεν την ενδιαφέρει!,"""She may appear flat-stomached in photographs, but in reality, she has her 'bread rolls' (saddlebags) and her belly 'pops' but she doesn't care at all!""
","""She may look flat-stomached in photos but in reality, she has her little rolls and her belly 'sticks out' but she doesn't care at all!""

"
2832,έχω τα ψωμάκια μου,"Και για να κλείνουμε σιγά σιγά το sex symbol που ονειρεύεσαι φιλαράκο δεν πειράζει αμα έχει τα ψωμάκια του, ο πρίγκηπας δεν πρόκειται να έρθει καβάλα σε άλογο, δεν τρέχει και τίποτε αν έρθει με Zastava του '85.","""And to slowly get over the sex symbol you are dreaming of, buddy, it doesn't matter if he's got a bit of flesh, the prince isn't going to arrive on horseback, and it's no big deal if he turns up in a Zastava '85.""
","""And to wrap up slowly, the sex symbol you dream about, buddy, it's okay if he has his flaws. The prince is not going to come riding on a horse; it's not big deal if he comes with an '85 Zastava.""

"
2833,δίνω σάρκα και οστά σε κάτι,"Και είναι πολύ σημαντικό, γιατί σάρκα και οστά έδωσε ο απλός πολίτης.","""And it is very important, because the ordinary citizen gave flesh and bones to it.""
","""And it is very important, because flesh and bone were given by the simple citizen.""

"
2834,δίνω σάρκα και οστά σε κάτι,Δώσε σάρκα και οστά στον στόχο σου. Μάθε πού θα σε οδηγήσει το τρέξιμο που αρχίζεις αξημέρωτα.,"""Breathe life into your goal. Learn where the run you are starting tirelessly will lead you.""
","""Give flesh and bones to your goal. Learn where the running you start without worth will lead you.""

"
2835,δίνω σάρκα και οστά σε κάτι,"Les Copains, Alberta Ferretti, Jil Sander και Jonathan Simkhai είναι μερικοί από τους ταλαντούχους δημιουργούς που έδωσαν ξανά σάρκα και οστά σε μια από τις πιο δυναμικές τάσεις του καλοκαιριού.","""Les Copains, Alberta Ferretti, Jil Sander, and Jonathan Simkhai are some of the talented designers who reinvigorated one of the most dynamic trends of the summer.""
","""Les Copains, Alberta Ferretti, Jil Sander and Jonathan Simkhai are some of the talented designers who have once again brought to life one of the most dynamic trends of the summer.""

"
2836,δίνω σάρκα και οστά σε κάτι,"Την Κυριακή 6 Μαΐου τελειώστε την αγωνία τους, πραγματοποιήστε τους φόβους τους δώστε σάρκα και οστά στους εφιάλτες τους","""On Sunday, 6th of May, end their agony, realize their fears, give flesh and bones to their nightmares.""
","""On Sunday, May 6, end their agony, make their fears come true, give flesh and bone to their nightmares.""

"
2837,δίνω σάρκα και οστά σε κάτι,"Τον Αύγουστο του 2012, δόθηκε σάρκα και οστά σε μια ιδέα για ένα ανοιχτό και προσιτό σε όλους 3ήμερο κατασκηνωτικό φεστιβάλ, το οποίο θα περιελάμβανε διαφόρων ειδών δραστηριότητες σχετικές με τη φύση, τη μουσική, τον αθλητισμό και του οποίου επίκεντρο θα ήταν η οδήγηση μηχανών τύπου enduro.","""In August 2012, an idea was brought to life for an open and accessible to all 3-day camping festival, which would include various kinds of activities related to nature, music, sports and whose focus would be enduro biking.""
","In August 2012, an idea was fleshed out for an open and accessible to all three-day camping festival, which would include various types of activities related to nature, music, sports, with its focal point being enduro-style motorcycling.

"
2838,δίνω σάρκα και οστά σε κάτι,Η πρεσβυτέρα Ευγενία Αρώνη είχε προετοιμάσει την εκδήλωση.Και ένας καλός δάσκαλος ο Κωστής Δημητρακόπουλος της έδωσε σάρκα και οστά.,"""Senior Eugenia Aroni had prepared the event. And a good teacher, Kostis Dimitrakopoulos, gave it flesh and bones."" 

Note: The idiomatic phrase ""gave it flesh and bones"" in this context means that Kostis Dimitrakopoulos brought the event to life or realized it fully.
","""The elder Evgenia Aroni had prepared the event. And a good teacher, Kostis Dimitrakopoulos, gave it flesh and bones.""

"
2839,δίνω πληρωμένη απάντηση,Πληρωμένη απάντηση έδωσε η Ελένη Φουρέιρα στη Ραχήλ Μακρή,"""Eleni Foureira gave a full response to Rachil Makri""
","""Eleni Foureira gave a full answer to Rachil Makri""

"
2840,γλιτώνω φτηνά κάτι,YΓ1:Χάρηκα που ήρθε τόσος χιλιάδες κόσμος παρόλο που 'φτηνά' γλυτώσαμε τη βροχή!,"""YΓ1: I am pleased that so many thousands of people came, even though we narrowly escaped the rain!""
","""UGC1: I'm glad that so many thousands of people came even though we barely escaped the rain!""

"
2841,γλιτώνω φτηνά κάτι,(...) και φτηνά γλυτώνουν το ξύλο και κερδίζουν την απέχθεια μας και την ανωνυμία τους ...,"""(...) and they cheaply avoid punishment, earning our contempt and their anonymity ...""
","""(...) and cheaply they avoid the punishment and earn our resentment and their anonymity ...""

"
2842,γλιτώνω φτηνά κάτι,Φθηνά γλίτωσε φέτος η πατάτα από τον περονόσπορο.,"""This year, the potato narrowly escaped the late blight.""
","""The potato escaped cheaply from the late blight this year.""

"
2843,γλιτώνω φτηνά κάτι,"Πάντως ο Βασίλης Ρόβας φθηνά γλίτωσε από σοβαρό τραυματισμό, μετά από ένα «φονικό» τάκλιν στο πρώτο ημίχρονο.","""Vasilis Rovas certainly narrowly escaped a serious injury, following a 'deadly' tackle in the first half.""
","""Vasilis Rovas certainly escaped a serious injury cheaply, following a ""deadly"" tackle in the first half.""

"
2844,γλιτώνω φτηνά κάτι,Φθηνά γλύτωσε την απόφασή του να οδηγεί μηχανή και παράλληλα να κρατάει μία κυνηγετική καραμπίνα ένας 48χρονος σε χωριό της επαρχίας ...,"A 48-year-old man in a village of the province narrowly escaped his decision to ride a motorcycle and simultaneously hold a hunting shotgun.
","""A 48-year-old in a village of the province narrowly avoided his decision to ride a motorcycle and simultaneously carry a hunting shotgun, at a cheap cost...""

"
2845,βλέπω φως στο τούνελ,Φως στο τούνελ είδαν οι μεγάλοι των κατασκευών τη διετία 2016-2017,"""The big players in construction saw light at the end of the tunnel in the period 2016-2017.""
","""The majors in the construction industry saw light at the end of the tunnel during the biennium of 2016-2017.""

"
2846,βλέπω φως στο τούνελ,​Φως στο τούνελ βλέπει μόνο ... η Νικολούλη,"""Only Nikolouli sees light in the tunnel...""
","""Only Nikolouli sees the light at the end of the tunnel...""

"
2847,βλέπω φως στο τούνελ,"Τέλος, δηλώνω από τώρα την απερίφραστη καταδίκη μου στο χύσιμο της καρδάρας με το γάλα τώρα που βλέπουμε επιτέλους φώς στο τούνελ και ξαναστεκόμαστε στα τέσσερα πόδια μας, κατακτήσεις οι οποίες κινδυνεύουν από τη λογική συνέπεια του Μιλτιαδικού Επιχειρήματος (...)","Finally, I declare from now on my unequivocal condemnation of mixing the bean soup with milk, now that we finally see light at the end of the tunnel and stand back on our four feet, achievements which are put at risk from the logical consequence of the argument of Miltiades (...).
","""Finally, I declare from now on my unequivocal condemnation of the indulgence with milk now that we finally see the light at the end of the tunnel and stand on our own four feet again, achievements which are at risk from the logical consequence of the Miltiades Argument (...)""

"
2848,βλέπω φως στο τούνελ,Είδε... φως στο τούνελ ο πρωθυπουργός,"The Prime Minister saw light at the end of the tunnel.
","The Prime Minister saw... light in the tunnel.

"
2849,αρπάζω την ευκαιρία από τα μαλλιά,Τώρα τι κάνω; Κουρνιάζω στην ανωνυμία μου και αντιδρώ με τη σιωπή μου ή αρπάζω την ευκαιρία από τα μαλλιά και βγαίνω μπροστά;,"""Now what do I do? Do I wallow in my anonymity and respond with my silence, or do I seize the moment and step forward?""
","""What do I do now? Do I revel in my anonymity and react with my silence, or do I seize the opportunity by the hair and step forward?""

"
2850,αρπάζω την ευκαιρία από τα μαλλιά,"Αρπάξτε την ευκαιρία από τα μαλλιά κι από ό,τι άλλο προεξέχει τέλος πάντων. Κάντε κάτι. Πρέπει να ξελαμπικάρετε.","""Seize the opportunity by the hair and anything else that sticks out. Do something. You have to stand out.""
","""Seize the opportunity by the hair and anything else that protrudes after all. Do something. You need to sparkle.""

"
2851,αρπάζω την ευκαιρία από τα μαλλιά,Αυτός που άρπαξε τελικά την ευκαιρία από τα μαλλιά ήταν το νέο απόκτημα της ομάδας.,"""The one who finally seized the opportunity was the team's new acquisition.""
","""The one who finally seized the opportunity by the hair was the team's new acquisition.""

"
2852,αρπάζω την ευκαιρία από τα μαλλιά,Την ευκαιρία από τα μαλλιά άρπαξαν οι μικροί του Παναθηναϊκού στο φιλικό με τη Χους.,"""The youngsters of Panathinaikos seized the moment in the friendly match with Xanthi.""
","The little ones of Panathinaikos seized the opportunity by the hair in the friendly game with Chous.

"
2853,αρπάζω την ευκαιρία από τα μαλλιά,"Όποιος ακόμα πιστεύει πως έχουμε μικρό ρόστερ ας αναθεωρήσει καλλύτερα :) την άρπαξαν την ευκαιρία απο τα μαλλιά,δεν υστέρησε κανείς σήμερα.","""Whoever still believes that we have a small roster should reconsider :) they seized the opportunity, nobody fell short today.""
","""Whoever still believes that we have a small roster, they better reconsider :) they seized the opportunity by the hair, no one fell short today.""

"
2854,ανακατεύομαι με τα πίτουρα,Σίγουρα υπάρχουν γυναίκες που τους αρέσει να ανακατεύονται με τα πίτουρα – τις ερεθίζει να ρισκάρουν τη φήμη τους και ίσως ακόμα την υγεία τους.,"""Surely there are women who like to meddle in suspicious activities - it excites them to risk their reputation and perhaps even their health.""
","""Surely there are women who like to meddle with troubles - it excites them to risk their reputation and perhaps even their health.""

"
2855,ανακατεύομαι με τα πίτουρα,"Κύριε Μάνεση, τι θέλετε και ανακατεύεστε με τα πίτουρα;","""Mr. Manesis, what do you want and why are you meddling in suspicious activities?""
","""Mr. Manesis, what do you want and why are you meddling with the bran?""

"
2856,ανακατεύομαι με τα πίτουρα,Ανακατεύτηκες πάλι με τα πίτουρα και θα το φας το κεφάλι σου...,"""You've gotten involved with questionable matters again and you're going to pay the price...""
","""You messed with the chaff again and you're going to suffer the consequences...""

"
2857,ανακατεύομαι με τα πίτουρα,"Με τα πίτουρα ανακατεύτηκε, αφρενάριστοs. Δύο ποινικέs διώξειs αντιμετωπίζει. Και μυαλό, απ' ό,τι φαίνεται, δεν θα βάλει.","""He got involved in a shady business, reckless. He is facing two criminal prosecutions. And it seems he's not going to wise up.""
","""He messed with the wrong people, irresponsibly. He is facing two penal pursuits. And it seems, he wouldn't come to his senses.""

"
2858,ρίχνω κορόνα γράμματα κάτι,"Έτσι. Χωρίς λόγο. Λες και έριξαν κορώνα-γράμματα το πώς θα ορίσουν τις άδειες, τις δύο έκατσε κορώνα (Windows Vista και Windows 8), τις άλλες δύο έκατσε γράμματα (Windows 7, Windows 8.1).","""So. Without reason. As if they tossed a coin on how to define the licenses, for two it landed on heads (Windows Vista and Windows 8), for the other two it landed on tails (Windows 7, Windows 8.1).""
","""So. Without reason. As if they tossed a coin to decide how they're going to assign licenses, two of them landed on heads (Windows Vista and Windows 8), the other two landed on tails (Windows 7, Windows 8.1).""

"
2859,ρίχνω κορόνα γράμματα κάτι,Ρίχνει κορώνα γράμματα για το τι θα κάνει.,"""He is risking it all on what he will do.""
","""He flips a coin to decide what he will do.""

"
2860,ρίχνω κορόνα γράμματα κάτι,Ρίξανε χθες κορώνα γράμματα για το αν θα φύγουν ή θα παρατείνουν τις διακοπές τους!,"""They gambled yesterday on whether they will leave or extend their vacations!""
","""They tossed a coin yesterday to decide whether they will leave or extend their vacation!""

"
2861,ρίχνω κορόνα γράμματα κάτι,Ο απόλυτος «Χίλαρι φαν» και τα κορώνα-γράμματα που έριξαν τον Σάντερς.,"""The ultimate 'Hillary fan' and the careless actions that jeopardized Sanders.""
","""The absolute 'Hillary fan' and the crown-letters that brought down Sanders.""

"
2862,ρίχνω κορόνα γράμματα κάτι,Κορώνα γράμματα ρίχθηκε το μέλλον της Κυβέρνησης!,"""The future of the Government was put at risk!""
","""The future of the Government was thrown into uncertainty!""

"
2863,πάω στο στόμα του λύκου,Πήγε στο στόμα του λύκου πιστεύοντας τον Ζλατάν και τους αρκουδιάρηδές του ότι θα συνομιλήσουν.,"""He went into the mouth of the wolf trusting Zlatan and his bear handlers to negotiate.""
","""He went into the mouth of the wolf, believing in Zlatan and his bear tamers, that they would negotiate.""

"
2864,πάω στο στόμα του λύκου,"Την ώρα που άλλες χώρες δανείζονται από την ΕΚΤ, εμείς πήγαμε στο στόμα του λύκου.","""At the time when other countries are borrowing from the ECB, we went into the wolf's mouth.""
","""At the time when other countries were borrowing from the ECB, we went into the lion's mouth.""

"
2865,πάω στο στόμα του λύκου,"Πήγε τελικά ο Νίκος στο στόμα του λύκου, αλλά επέστρεψε νικητής","""Nikos finally went into the lion's den, but he returned victorious.""
","""Nikos finally went into the lion's mouth, but came back a winner.""

"
2866,πάω στο στόμα του λύκου,"Στο στόμα του λύκου πήγε, αλλά επέστρεψε σώος και αβλαβής.","""He went into the mouth of the wolf, but returned safe and unharmed.""
","""He went into the mouth of the wolf, but returned safe and unharmed.""

"
2867,πάω στο στόμα του λύκου,Τότε τα  δυο ατρόμητα παλικάρια αποφάσισαν να πάνε στο στόμα του λύκου δηλαδή στη φάμπρικα (ελαιοτριβείο ) που διατηρούσε ο γενίτσαρος στο Κλήμα και να τον σκοτώσουν τιμωρώντας τον για τα εγκλήματα που είχε διαπράξει.,"""Then the two fearless young men decided to put their heads into the wolf's mouth, meaning to go to the factory (oil mill) that the gendarme maintained in Klima, and kill him in retribution for the crimes he had committed.""

","""Then, the two fearless young men decided to go into the mouth of the wolf, in other words, to the factory (oil mill) that the janissary kept in Klima and kill him as punishment for the crimes he had committed.""

"
2868,ρίχνω μαύρο δάκρυ,"Το τι μαύρο δάκρυ έριξαν οι Αμερικανοί, ακούγοντας τις δηλώσεις της ερωτευμένης και αφοσιωμένης συζύγου, δεν μπορώ να σου πω.","""I cannot tell you the deep sorrow the Americans felt, listening to the statements of the loving and devoted wife.""
","""I cannot tell you what a black tear the Americans shed, listening to the statements of the smitten and devoted wife.""

"
2869,ρίχνω μαύρο δάκρυ,Δεν βαρέθηκα στιγμή και πέρασα ευχάριστα με την κοπέλα μου που έριχνε μαύρο δάκρυ χαχαχχαχαχαχ ...,"""I didn't get bored for a moment and I had a pleasant time with my girlfriend who was weeping her heart out haha...""
","""I didn't get bored for a moment and had a good time with my girlfriend who was crying black tears haha...""

"
2870,ρίχνω μαύρο δάκρυ,"Τόσα χρόνια παιδευόμασταν για τον περιβόητο αγωγό Μπουργκάς-Αλεξανδρούπολη, ρίξαμε μαύρο δάκρυ για να μην χαθεί, φτιάξαμε αγάλματα στον Καραμανλή τον βού που τον προωθούσε, παραλίγο να κρεμάσουμε τον Γιωργάκη που δεν τον υποστήριξε...και όλα αυτά γιατί;","""For so many years we were educated about the infamous Burgas-Alexandroupoli pipeline, we wept our hearts out so it would not be lost, we erected statues to Karamanlis the bull who promoted it, we almost hung little George who did not support it... and all this for what?""
","""We spent so many years studying for the infamous Burgas-Alexandroupolis pipeline, we shed tears of despair for it not to be lost, we built statues in honor of Karamanlis, the bull who was promoting it, we were about to hang Giorgaki who didn't support it...and all this, why?""

"
2871,ρίχνω μαύρο δάκρυ,"Μαύρο δάκρυ ρίχνουν οι χρηματιστές, οι εισηγμένοι και τα τμήματα αναλύσεων των τραπεζών. ”Δεν δικαιολογείται περαιτέρω πτώση”, μας λένε.","""Brokers, listed companies, and the analysis departments of the banks are weeping their hearts out. “Further downfall is not justified,” they tell us.""
","""Stockbrokers, listed companies, and banks' analytical departments shed black tears. 'A further fall is not justified,' they tell us.""

"
2872,ρίχνω κροκοδείλια δάκρυα για κάποιον,Νομίζω από το να υποκριθω ότι ρίχνω κροκοδείλια δάκρυα καλύτερα είναι να το παραδεχθω.,"""I believe it's better to admit it than to pretend to shed crocodile tears.""
","""I believe it's better to admit it than to pretend that I'm shedding crocodile tears.""

"
2873,ρίχνω κροκοδείλια δάκρυα για κάποιον,ΚΚΕ: Η κυβέρνηση ρίχνει κροκοδείλια δάκρυα κατά του ρατσισμού,"KKE: The government is shedding crocodile tears over racism.
","KKE: The government sheds crocodile tears against racism.

"
2874,ρίχνω κροκοδείλια δάκρυα για κάποιον,Γιατί εύκολα κροκοδείλια δάκρυα έριξαν και θα ρίξουν πολλοί/ες από τη διοίκηση αλλά όταν έρχεται η ώρα της ανάληψης ευθυνών (τόσο για τους ηθικούς αυτουργούς όσο και την εκπλήρωση όσων προβλέπει ο νόμος για τους συγγενείς της θανούσας) θα σφυράνε κλέφτικα.,"""Why did those in power easily shed crocodile tears and many will continue to do so, but when the time comes to take responsibility (not just the moral instigators but also the fulfillment of what the law provides for the relatives of the deceased), they will sneak away.""
","""Why, many from the administration have easily shed crocodile tears and will do so again, but when the time comes to take responsibility (both for the moral instigators and for fulfilling whatever the law provides for the relatives of the deceased) they will be conveniently silent.""

"
2875,ρίχνω κροκοδείλια δάκρυα για κάποιον,"Κροκοδείλια δάκρυα έριξαν για την σφαγή Αλβανοφώνων προσφύγων απο Νατοικούς πυραύλους, οι χώρες μέλη της Συμμαχίας, καθώς και το Συμβούλιο Ασφαλείας του Οργανισμού Ηνωμένων Εθνών.","""Crocodile tears were shed for the slaughter of Albanian-speaking refugees by NATO missiles by the member countries of the Alliance, as well as by the United Nations Security Council.""
","""Alliance member countries, as well as the United Nations Security Council, shed crocodile tears for the slaughter of Albanian-speaking refugees from NATO missiles.""

"
2876,ρίχνω κροκοδείλια δάκρυα για κάποιον,"Πάντως δε ρίχνω κροκοδείλια δάκρυα για τα θύματα , ούτε τα χρησιμοποιώ για να επιτεθώ στους Ισραηλινούς και Αμερικάνους","""I certainly do not shed crocodile tears for the victims, nor do I use them to attack the Israelis and Americans.""
","""I certainly shed crocodile tears for the victims, nor do I use them to attack Israelis and Americans.""

"
2877,πιάνομαι μαλλί με μαλλί με κάποιον,"Μαλλί με μαλλί πιάστηκαν δύο τουρίστριες σε μπαρ της Χερσονήσου στο Ηράκλειο της Κρήτης, για τα μάτια ενός Έλληνα.","""Two female tourists had a squabble over the eyes of a Greek man in a bar on the Chersonissus peninsula in Heraklion, Crete.""
","""Two tourists got into a hair-pulling fight at a bar in Hersonissos, in Heraklion of Crete, over a Greek man.""

"
2878,πιάνομαι μαλλί με μαλλί με κάποιον,Πιάστηκε μαλλί με μαλλί με άλλη γυναίκα για χάρη ενός άντρα η Νικολέτα Βλαβιανού! Τι αποκάλυψε η ίδια; (Βίντεο),"""Nikoleta Vlavianou had a falling out with another woman over a man! What did she reveal herself? (Video)""
","""Nikoleta Vlavianou got into a hair-pulling fight with another woman over a man! What did she reveal herself? (Video)""

"
